timestamp,roll,pitch,yaw,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z
3.53885e+07,1.83291,1.2356,1.75956,-nan,4.92289e+20,-1.30945e+23,2.81283e+11,1.68322e+09,-2.09521e+12
3.53935e+07,-2.88181,0.652477,-1.20511,-nan,4.9234e+20,-1.3102e+23,2.81383e+11,1.45919e+09,-2.09577e+12
3.53985e+07,2.49487,0.588935,0.045296,-nan,4.92392e+20,-1.31094e+23,2.8164e+11,1.46679e+09,-2.09631e+12
3.54035e+07,2.70319,1.37643,2.16203,-nan,4.92445e+20,-1.31168e+23,2.81616e+11,1.49953e+09,-2.09698e+12
3.54085e+07,-3.0988,0.872325,-1.81646,-nan,4.92492e+20,-1.31242e+23,2.8158e+11,1.30859e+09,-2.09759e+12
3.54134e+07,3.11187,0.685752,0.0644069,-nan,4.92539e+20,-1.31317e+23,2.81819e+11,1.33507e+09,-2.09816e+12
3.54184e+07,2.58394,1.0561,1.52847,-nan,4.92591e+20,-1.31391e+23,2.81824e+11,1.47463e+09,-2.09881e+12
3.54234e+07,-2.98236,1.20139,-2.23711,-nan,4.9264e+20,-1.31465e+23,2.81777e+11,1.38426e+09,-2.09947e+12
3.54284e+07,-2.85223,0.576332,-0.327166,-nan,4.92687e+20,-1.3154e+23,2.82035e+11,1.31978e+09,-2.10001e+12
3.54334e+07,2.57552,0.828345,0.770374,-nan,4.92739e+20,-1.31614e+23,2.82177e+11,1.46201e+09,-2.10062e+12
3.54383e+07,2.83566,1.43396,2.78038,-nan,4.9279e+20,-1.31689e+23,2.82153e+11,1.45687e+09,-2.10129e+12
3.54433e+07,-2.79425,0.862184,-1.24767,-nan,4.92836e+20,-1.31763e+23,2.82245e+11,1.27217e+09,-2.1019e+12
3.54483e+07,3.04408,0.748918,0.0549663,-nan,4.92882e+20,-1.31838e+23,2.82469e+11,1.3033e+09,-2.10249e+12
3.54533e+07,2.40475,1.16059,1.16396,-nan,4.92931e+20,-1.31912e+23,2.82508e+11,1.40138e+09,-2.10315e+12
